name,calories,dining_hall,description
"Bacon, Egg & Cheese Bagel",410,Runk,"Crisp bacon, scrambled egg and American cheese on a plain bagel"
"Sausage, Egg & Cheese Muffin",450,Runk,"Sausage, fried egg and American cheese on a toasted English muffin"
Overnight Oatmeal,220,Runk,"A creamy combination of oatmeal, milk, yogurt and honey."
Fried Egg,100,Runk,Fresh cage-free eggs fried to order
Scrambled Eggs,110,Runk,"Fluffy, fresh eggs gently scrambled to perfection, seasoned with a touch of salt and pepper"
O'Brien Potatoes,140,Runk,Pan-fried seasoned diced potatoes and sauteed green and red peppers and onions
Bacon (2 slice),110,Runk,"Crisp, lightly smoked bacon strips"
Pork Sausage Patty,180,Runk,Sizzling hot golden brown pork sausage patty
Turkey Sausage Patty,90,Runk,Sizzling hot golden brown turkey sausage patty
Berry Fruit Medley,50,Runk,"Pineapple, strawberries and blueberries"
French Toast Platter,810,Runk,"Cinnamon French Toast served with Maple Syrup, Scrambled Eggs and Tater Tots."
Smashed Avocado Toast,150,Runk,"Mashed avocado seasoned with lemon, salt and red pepper flakes on multigrain toast"
Strawberry Yogurt Parfait,200,Runk,"Creamy vanilla yogurt layered with fresh, juicy strawberries, topped with crunchy granola"
Bagel,180,Runk,Plain bagel
Hummus Snack Box,290,Runk,"Snack box filled with Hummus, Crudites & a Hard Boiled Egg"
Fruit & Cheese Snack Box,280,Runk,"Cheddar, Swiss, red grapes and pretzels."
Hard-Cooked Egg,70,O-Hill,"Perfectly hard-cooked egg, featuring a firm yet tender white and a rich, creamy yolk"
Biscuits & Sausage Gravy,460,O-Hill,"Warm, biscuits smothered in creamy sausage gravy made from seasoned ground pork"
Scrambled Eggs,140,O-Hill,Eggs gently scrambled to fluffy perfection
Crispy Tater Tots,90,O-Hill,Deep-fried seasoned shredded potato bites
Turkey Sausage Link,100,O-Hill,Golden brown savory turkey sausage link
Pancake,130,O-Hill,"Pancake using oat milk, rice flour and egg replacer"
Fresh Fruit Cup,110,O-Hill,"Enjoy a delightful medley of juicy cantaloupe, sweet honeydew, tangy pineapple and grapes"
Grilled Chorizo Sausage,280,O-Hill,No description available
Fried Just Egg,100,O-Hill,Fried vegan egg patty
Seasoned Home Fries,90,O-Hill,Oven-baked seasoned diced potatoes
Sausage & Cheese Biscuit,420,O-Hill,Sausage patty and American cheese on a fresh baked flaky biscuit
Buttermilk Pancakes,160,O-Hill,"Fluffy, golden brown buttermilk pancakes"
Grits (6 fl oz),90,O-Hill,Homestyle grits
Incogmeato™ Sausage Patty (1 patty),150,O-Hill,Plant-based breakfast sausage
Oatmeal (6 fl oz),120,O-Hill,Hot rolled oats
Bagel,180,O-Hill,Plain bagel
Scrambled Eggs,140,Newcomb,Eggs gently scrambled to fluffy perfection
Home Fries,140,Newcomb,Oven-roasted seasoned fresh potato slices
Bacon (2 slice),110,Newcomb,"Crisp, lightly smoked bacon strips"
Turkey Sausage Link,100,Newcomb,Golden brown savory turkey sausage link
Cheesy Scrambled Eggs,160,Newcomb,Fluffy scrambled eggs with Cheddar cheese
Fried Egg,100,Newcomb,Fresh cage-free eggs fried to order
Banana Buttermilk Pancake,160,Newcomb,Piping hot buttermilk pancake with fresh banana
Apple Cinnamon Muffin,320,Newcomb,Freshly baked apple cinnamon muffin
Sausage Mushroom Breakfast Bowl,590,Newcomb,"Roasted potatoes with chick pea scramble, sausage, mushrooms, onions and vegan cheddar"
Tofu-Potato Hash,140,Newcomb,"Crispy, golden potatoes, hearty tofu, sautéed bell peppers, onions and salsa"
Grits (6 fl oz),90,Newcomb,Homestyle grits
Incogmeato™ Sausage Patty (1 patty),150,Newcomb,Plant-based breakfast sausage
Oatmeal (6 fl oz),120,Newcomb,Hot rolled oats
Mixed Berry Cucumber Smoothie,70,Newcomb,Mixed Berry Cucumber Smoothie
Strawberry-Banana Smoothie,130,Newcomb,Strawberries and fresh banana blended with creamy vanilla yogurt and apple juice
